2, 6, 6, nback, 11, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0084, 1, 0.3781
2, 6, 6, nback, 12, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0082, 1, 0.4245
2, 6, 6, nback, 13, 1, 1!, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0080, 1, 0.4847
2, 6, 6, nback, 14, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0079, 1, 0.4499
2, 6, 6, nback, 15, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0077, 1, 0.4870
2, 6, 6, nback, 16, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0075, 1, 0.4422
2, 6, 6, nback, 17, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0074, 1, 0.4531
2, 6, 6, nback, 18, 1, 1!, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0072, 1, 0.4625
2, 6, 6, nback, 19, 1, 1!, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0070, 1, 0.4816
2, 6, 6, nback, 20, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0068, 1, 0.4059
2, 6, 6, nback, 21, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0067, 1, 0.4280
2, 6, 6, nback, 22, 1, 1!, 2@, 42, 025.jpg, singleton, nback_singleton_2back, 0.0065, 0, 0.7732
2, 6, 6, nback, 23, 1, 2@, 2@, 33, 062.jpg, different, nback_different_pair1_2back, 0.0063, 1, 0.7074
2, 6, 6, nback, 24, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0062, 1, 0.6425
2, 6, 6, nback, 25, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0060, 1, 0.4177
2, 6, 6, nback, 26, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0058, 1, 0.4110
2, 6, 6, nback, 27, 1, 2@, 2@, 43, 044.jpg, singleton, nback_singleton_2back, 0.0056, 1, 0.3740
2, 6, 6, nback, 28, 1, 1!, 2@, 37, 093.jpg, different, nback_different_pair1_2back, 0.0055, 0, 0.4791
2, 6, 6, nback, 29, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0053, 1, 0.4484
2, 6, 6, nback, 30, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0051, 1, 0.4147
2, 6, 7, cat, 1, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0040, 1, 0.5076
2, 6, 7, cat, 2, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0038, 1, 0.4591
2, 6, 7, cat, 3, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0037, 1, 0.5219
2, 6, 7, cat, 4, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton_2back, 0.0035, 1, 0.5230
2, 6, 7, cat, 5, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0033, 1, 0.4832
2, 6, 7, cat, 6, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0031, 1, 0.4914
2, 6, 7, cat, 7, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0029, 1, 0.4897
2, 6, 7, cat, 8, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0027, 1, 0.5450
2, 6, 7, cat, 9, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2_2back, 0.0025, 1, 0.4920
2, 6, 7, cat, 10, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton_2back, 0.0108, 1, 0.4988
2, 6, 7, cat, 11, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0106, 1, 0.4491
2, 6, 7, cat, 12, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0104, 1, 0.4972
2, 6, 7, cat, 13, 1, 2@, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0103, 1, 0.5094
2, 6, 7, cat, 14, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0101, 1, 0.4505
2, 6, 7, cat, 15, 1, 2@, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0099, 1, 0.5326
2, 6, 7, cat, 16, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0098, 1, 0.4829
2, 6, 7, cat, 17, 1, 2@, 2@, 9, 056.jpg, different, cat_different_pair1_2back, 0.0096, 1, 0.5561
2, 6, 7, cat, 18, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0094, 1, 0.4562
2, 6, 7, cat, 19, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0092, 1, 0.5364
2, 6, 7, cat, 20, 1, 1!, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0091, 1, 0.4694
2, 6, 7, cat, 21, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1_2back, 0.0089, 1, 0.5278
2, 6, 7, cat, 22, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0087, 1, 0.5130
2, 6, 7, cat, 23, 1, 1!, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0086, 0, 0.6959
2, 6, 7, cat, 24, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0084, 1, 0.5912
2, 6, 7, cat, 25, 1, 2@, 2@, 16, 050.jpg, different, cat_different_pair2_2back, 0.0082, 1, 0.5815
2, 6, 7, cat, 26, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0080, 1, 0.4997
2, 6, 7, cat, 27, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0079, 1, 0.5286
2, 6, 7, cat, 28, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0077, 1, 0.5210
2, 6, 7, cat, 29, 1, 2@, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0075, 1, 0.6382
2, 6, 7, cat, 30, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0074, 1, 0.5633
2, 6, 8, nback, 1, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0062, 1, 0.5665
2, 6, 8, nback, 2, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0061, 1, 0.3946
2, 6, 8, nback, 3, 1, 2@, 2@, 47, 055.jpg, singleton, nback_singleton_2back, 0.0059, 1, 0.4978
2, 6, 8, nback, 4, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0057, 1, 0.3970
