1, 1, 7, cat, 14, 1, 2@, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0128, 0, 0.9239
1, 1, 7, cat, 15, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0149, 1, 0.5939
1, 1, 7, cat, 16, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2_2back, 0.0169, 1, 0.8797
1, 1, 7, cat, 17, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1_2back, 0.0022, 1, 0.7185
1, 1, 7, cat, 18, 1, 1!, 1!, 2, 035.jpg, same, cat_same_pair2, 0.0041, 1, 0.6045
1, 1, 7, cat, 19, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0062, 1, 0.5385
1, 1, 7, cat, 20, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0081, 1, 0.7848
1, 1, 7, cat, 21, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0102, 1, 0.5341
1, 1, 7, cat, 22, 1, 1!, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0120, 0, 0.6204
1, 1, 7, cat, 23, 1, 1!, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0142, 0, 0.6504
1, 1, 7, cat, 24, 1, 1!, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0162, 0, 0.5045
1, 1, 7, cat, 25, 0, , 2@, 6, 084.jpg, same, cat_same_pair2_2back, 0.0015, 0, -1.0000
1, 1, 7, cat, 26, 1, 1!, 2@, 7, 026.jpg, same, cat_same_pair1_2back, 0.0035, 0, 0.6131
1, 1, 7, cat, 27, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0055, 1, 0.7232
1, 1, 7, cat, 28, 1, 2@, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0075, 0, 0.7930
1, 1, 7, cat, 29, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0093, 1, 0.4475
1, 1, 7, cat, 30, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0115, 1, 0.6051
1, 1, 8, nback, 1, 1, 1!, 1!, 44, 089.jpg, singleton, nback_singleton, 0.0078, 1, 0.5530
1, 1, 8, nback, 2, 1, 1!, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0097, 1, 0.4546
1, 1, 8, nback, 3, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0116, 1, 0.4770
1, 1, 8, nback, 4, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0138, 1, 0.5788
1, 1, 8, nback, 5, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0157, 1, 0.7129
1, 1, 8, nback, 6, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0007, 1, 0.5680
1, 1, 8, nback, 7, 1, 1!, 1!, 28, 074.jpg, same, nback_same_pair2, 0.0031, 1, 0.5172
1, 1, 8, nback, 8, 1, 1!, 1!, 35, 025.jpg, different, nback_different_pair1, 0.0051, 1, 0.5556
1, 1, 8, nback, 9, 1, 2@, 1!, 36, 004.jpg, different, nback_different_pair2, 0.0071, 0, 0.7215
1, 1, 8, nback, 10, 1, 1!, 2@, 35, 025.jpg, different, nback_different_pair1_2back, 0.0089, 0, 0.4717
1, 1, 8, nback, 11, 1, 1!, 1!, 33, 036.jpg, different, nback_different_pair1, 0.0111, 1, 0.5415
1, 1, 8, nback, 12, 1, 1!, 1!, 34, 042.jpg, different, nback_different_pair2, 0.0131, 1, 0.5636
1, 1, 8, nback, 13, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0150, 1, 0.5136
1, 1, 8, nback, 14, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0171, 1, 0.7196
1, 1, 8, nback, 15, 1, 1!, 2@, 37, 083.jpg, different, nback_different_pair1_2back, 0.0024, 0, 0.4542
1, 1, 8, nback, 16, 1, 1!, 1!, 47, 094.jpg, singleton, nback_singleton, 0.0044, 1, 0.8921
1, 1, 8, nback, 17, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0062, 1, 0.8266
1, 1, 8, nback, 18, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0084, 1, 0.9601
