2, 1, 6, cat, 28, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0037, 1, 0.7416
2, 1, 6, cat, 29, 1, 1!, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0057, 0, 0.6835
2, 1, 6, cat, 30, 0, , 1!, 12, 033.jpg, different, cat_different_pair2, 0.0077, 0, -1.0000
2, 1, 7, nback, 1, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0040, 1, 0.6694
2, 1, 7, nback, 2, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0060, 1, 0.9714
2, 1, 7, nback, 3, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0080, 1, 0.7053
2, 1, 7, nback, 4, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0100, 1, 0.6555
2, 1, 7, nback, 5, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0120, 1, 0.7094
2, 1, 7, nback, 6, 1, 2@, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0139, 0, 0.7954
2, 1, 7, nback, 7, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0159, 1, 0.8091
2, 1, 7, nback, 8, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0179, 1, 0.8793
2, 1, 7, nback, 9, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0033, 1, 0.7417
2, 1, 7, nback, 10, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0052, 1, 0.6920
2, 1, 7, nback, 11, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0073, 1, 0.6260
2, 1, 7, nback, 12, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0093, 1, 0.6319
2, 1, 7, nback, 13, 1, 2@, 2@, 28, 071.jpg, same, nback_same_pair2_2back, 0.0113, 1, 0.7100
2, 1, 7, nback, 14, 1, 2@, 2@, 43, 044.jpg, singleton, nback_singleton_2back, 0.0132, 1, 0.6677
2, 1, 7, nback, 15, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0152, 1, 0.4817
2, 1, 7, nback, 16, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0173, 1, 0.6400
2, 1, 7, nback, 17, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0026, 1, 0.6067
2, 1, 7, nback, 18, 0, , 1!, 40, 051.jpg, different, nback_different_pair2, 0.0046, 0, -1.0000
2, 1, 7, nback, 19, 1, 1!, 2@, 39, 081.jpg, different, nback_different_pair1_2back, 0.0066, 0, 0.6504
2, 1, 7, nback, 20, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0086, 1, 0.4564
2, 1, 7, nback, 21, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0106, 1, 0.3588
2, 1, 7, nback, 22, 1, 2@, 2@, 37, 093.jpg, different, nback_different_pair1_2back, 0.0125, 1, 0.4768
2, 1, 7, nback, 23, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0145, 1, 0.5948
2, 1, 7, nback, 24, 1, 1!, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0165, 1, 0.7284
2, 1, 7, nback, 25, 1, 1!, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0019, 1, 0.5913
2, 1, 7, nback, 26, 1, 2@, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0039, 0, 0.8374
2, 1, 7, nback, 27, 1, 1!, 2@, 30, 037.jpg, same, nback_same_pair2_2back, 0.0059, 0, 0.8754
2, 1, 7, nback, 28, 0, , 2@, 48, 012.jpg, singleton, nback_singleton_2back, 0.0078, 0, -1.0000
2, 1, 7, nback, 29, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0098, 1, 0.5915
2, 1, 7, nback, 30, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0119, 1, 0.5653
2, 1, 8, cat, 1, 0, , 1!, 18, 041.jpg, singleton, cat_singleton, 0.0082, 0, -1.0000
2, 1, 8, cat, 2, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0101, 1, 0.6311
2, 1, 8, cat, 3, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0121, 1, 0.7573
2, 1, 8, cat, 4, 1, 1!, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0141, 0, 0.7551
2, 1, 8, cat, 5, 1, 1!, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0162, 0, 0.6649
2, 1, 8, cat, 6, 1, 2@, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0015, 0, 0.8959
2, 1, 8, cat, 7, 1, 1!, 2@, 24, 067.jpg, singleton, cat_singleton_2back, 0.0035, 0, 0.6216
2, 1, 8, cat, 8, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0055, 1, 0.5317
2, 1, 8, cat, 9, 1, 2@, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0075, 1, 0.6177
2, 1, 8, cat, 10, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0093, 1, 0.4958
2, 1, 8, cat, 11, 1, 2@, 2@, 14, 006.jpg, different, cat_different_pair2_2back, 0.0114, 1, 0.6054
2, 1, 8, cat, 12, 1, 2@, 1!, 3, 014.jpg, same, cat_same_pair1_2back, 0.0134, 0, 0.7076
2, 1, 8, cat, 13, 1, 2@, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0154, 0, 0.7778
2, 1, 8, cat, 14, 1, 1!, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0172, 0, 0.6320
2, 1, 8, cat, 15, 1, 1!, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0025, 1, 0.5188
2, 1, 8, cat, 16, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0048, 1, 0.6284
2, 1, 8, cat, 17, 1, 2@, 1!, 12, 033.jpg, different, cat_different_pair2_2back, 0.0067, 0, 0.4983
2, 1, 8, cat, 18, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton_2back, 0.0087, 1, 0.6404
