2, 3, 5, nback, 19, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0149, 1, 0.5841
2, 3, 5, nback, 20, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0167, 1, 0.4545
2, 3, 5, nback, 21, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0022, 1, 0.4611
2, 3, 5, nback, 22, 1, 1!, 2@, 28, 071.jpg, same, nback_same_pair2_2back, 0.0042, 0, 0.5148
2, 3, 5, nback, 23, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0062, 1, 0.4888
2, 3, 5, nback, 24, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0082, 1, 0.5350
2, 3, 5, nback, 25, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0102, 1, 0.5648
2, 3, 5, nback, 26, 1, 2@, 2@, 39, 081.jpg, different, nback_different_pair1_2back, 0.0122, 1, 0.7630
2, 3, 5, nback, 27, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0142, 1, 0.5531
2, 3, 5, nback, 28, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0162, 1, 0.5031
2, 3, 5, nback, 29, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0015, 1, 0.5177
2, 3, 5, nback, 30, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0035, 1, 0.5955
2, 3, 6, cat, 1, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0165, 1, 0.8465
2, 3, 6, cat, 2, 1, 1!, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0018, 1, 0.6853
2, 3, 6, cat, 3, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1_2back, 0.0038, 1, 0.5474
2, 3, 6, cat, 4, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0058, 1, 0.5454
2, 3, 6, cat, 5, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0078, 1, 0.4794
2, 3, 6, cat, 6, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton_2back, 0.0098, 1, 0.4855
2, 3, 6, cat, 7, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0118, 1, 0.5636
2, 3, 6, cat, 8, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0138, 1, 0.4814
2, 3, 6, cat, 9, 1, 2@, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0158, 1, 0.5994
2, 3, 6, cat, 10, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0178, 1, 0.5814
2, 3, 6, cat, 11, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0031, 1, 0.5480
2, 3, 6, cat, 12, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0051, 1, 0.4581
2, 3, 6, cat, 13, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0071, 1, 0.5682
2, 3, 6, cat, 14, 1, 2@, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0091, 0, 0.5738
2, 3, 6, cat, 15, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1_2back, 0.0111, 1, 0.5721
2, 3, 6, cat, 16, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0131, 1, 0.6822
2, 3, 6, cat, 17, 1, 2@, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0151, 1, 0.5840
2, 3, 6, cat, 18, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0169, 1, 0.6464
2, 3, 6, cat, 19, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0024, 1, 0.4765
2, 3, 6, cat, 20, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0044, 1, 0.4825
2, 3, 6, cat, 21, 1, 2@, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0064, 0, 0.6008
2, 3, 6, cat, 22, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2_2back, 0.0084, 1, 0.4949
2, 3, 6, cat, 23, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton_2back, 0.0104, 1, 0.5568
2, 3, 6, cat, 24, 1, 1!, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0124, 0, 0.5385
2, 3, 6, cat, 25, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0144, 1, 0.5608
2, 3, 6, cat, 26, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0164, 1, 0.5669
2, 3, 6, cat, 27, 1, 1!, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0017, 0, 0.8215
2, 3, 6, cat, 28, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0037, 1, 0.5073
2, 3, 6, cat, 29, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2_2back, 0.0057, 1, 0.5777
2, 3, 6, cat, 30, 1, 1!, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0077, 0, 0.8235
2, 3, 7, nback, 1, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0040, 1, 0.3791
2, 3, 7, nback, 2, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0060, 1, 0.4091
2, 3, 7, nback, 3, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0080, 1, 0.4553
2, 3, 7, nback, 4, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0100, 1, 0.5253
2, 3, 7, nback, 5, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0120, 1, 0.5469
2, 3, 7, nback, 6, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0140, 1, 0.4732
2, 3, 7, nback, 7, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0160, 1, 0.4792
2, 3, 7, nback, 8, 1, 2@, 2@, 31, 011.jpg, same, nback_same_pair1_2back, 0.0180, 1, 0.5892
2, 3, 7, nback, 9, 1, 1!, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0033, 1, 0.4600
2, 3, 7, nback, 10, 1, 1!, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0053, 1, 0.3859
2, 3, 7, nback, 11, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0073, 1, 0.5599
2, 3, 7, nback, 12, 1, 2@, 2@, 30, 037.jpg, same, nback_same_pair2_2back, 0.0093, 1, 0.5019
2, 3, 7, nback, 13, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0113, 1, 0.5959
2, 3, 7, nback, 14, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0133, 1, 0.5536
2, 3, 7, nback, 15, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0153, 1, 0.4479
2, 3, 7, nback, 16, 1, 2@, 2@, 35, 094.jpg, different, nback_different_pair1_2back, 0.0173, 1, 0.5339
2, 3, 7, nback, 17, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0026, 1, 0.4282
2, 3, 7, nback, 18, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0046, 1, 0.4667
2, 3, 7, nback, 19, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0066, 1, 0.4886
2, 3, 7, nback, 20, 1, 2@, 2@, 44, 080.jpg, singleton, nback_singleton_2back, 0.0086, 1, 0.5422
2, 3, 7, nback, 21, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0106, 1, 0.5242
2, 3, 7, nback, 22, 1, 1!, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0124, 1, 0.4907
2, 3, 7, nback, 23, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0146, 1, 0.4966
2, 3, 7, nback, 24, 1, 2@, 2@, 48, 012.jpg, singleton, nback_singleton_2back, 0.0166, 1, 0.5262
2, 3, 7, nback, 25, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0019, 1, 0.4293
2, 3, 7, nback, 26, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0039, 1, 0.4513
2, 3, 7, nback, 27, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0059, 1, 0.5772
2, 3, 7, nback, 28, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0079, 1, 0.5669
2, 3, 7, nback, 29, 1, 2@, 2@, 40, 051.jpg, different, nback_different_pair2_2back, 0.0099, 1, 0.3810
2, 3, 7, nback, 30, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0119, 1, 0.5311
2, 3, 8, cat, 1, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0082, 1, 0.7509
2, 3, 8, cat, 2, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0102, 1, 0.4850
2, 3, 8, cat, 3, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton_2back, 0.0122, 1, 0.5229
2, 3, 8, cat, 4, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0139, 1, 0.5209
2, 3, 8, cat, 5, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0162, 1, 0.6228
2, 3, 8, cat, 6, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0015, 1, 0.6056
2, 3, 8, cat, 7, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton_2back, 0.0035, 1, 0.6357
2, 3, 8, cat, 8, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0055, 1, 0.6653
2, 3, 8, cat, 9, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0075, 1, 0.5277
2, 3, 8, cat, 10, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2_2back, 0.0095, 1, 0.6935
2, 3, 8, cat, 11, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0115, 1, 0.6913
2, 3, 8, cat, 12, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0135, 1, 0.7376
2, 3, 8, cat, 13, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0155, 1, 0.7436
2, 3, 8, cat, 14, 1, 2@, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0175, 1, 0.6137
2, 3, 8, cat, 15, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0028, 1, 0.5723
2, 3, 8, cat, 16, 1, 2@, 2@, 9, 056.jpg, different, cat_different_pair1_2back, 0.0048, 1, 0.5223
2, 3, 8, cat, 17, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0068, 1, 0.4480
