2, 5, 8, cat, 4, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0141, 1, 0.4823
2, 5, 8, cat, 5, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton_2back, 0.0161, 1, 0.4642
2, 5, 8, cat, 6, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton_2back, 0.0014, 1, 0.5349
2, 5, 8, cat, 7, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0034, 1, 0.4931
2, 5, 8, cat, 8, 1, 2@, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0054, 1, 0.4986
2, 5, 8, cat, 9, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0074, 1, 0.5049
2, 5, 8, cat, 10, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0094, 1, 0.4868
2, 5, 8, cat, 11, 1, 1!, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0114, 1, 0.5090
2, 5, 8, cat, 12, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1_2back, 0.0134, 1, 0.4990
2, 5, 8, cat, 13, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0154, 1, 0.4889
2, 5, 8, cat, 14, 1, 2@, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0174, 1, 0.5510
2, 5, 8, cat, 15, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1_2back, 0.0027, 1, 0.4616
2, 5, 8, cat, 16, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0047, 1, 0.5157
2, 5, 8, cat, 17, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0067, 1, 0.5056
